"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","mg_1","mg_2","mg_3","mg_4","mg_7"
"Q9NPQ8",7.62018592118701,7.81541049398215,7.57841692598234,7.6904048475425,7.1866031269445,7.65909476306919,8.14761418748876,7.64767947799042,7.45239077920909,6.69778654170815
"Q9NQC3",8.19413470030868,8.46488086080791,8.21125172232191,7.92112051203234,8.00062129308921,8.11717418835359,8.0808434678649,8.21644115015047,8.13122051711841,8.28118401034914
"Q9NQG5",7.1103418841888,6.6945981269879,7.06083667656805,6.88529123006903,7.05749215941223,6.80826534723248,7.16907100288823,6.99382571750716,6.91531070430436,6.936853215742
"Q9NQP4",7.82876041153111,7.63746092267635,7.75690917133056,7.5729126089422,7.48395986082008,7.67694045660335,7.41674430999327,7.43804534252728,7.32206993148713,7.4464637539565
"Q9NQS1",6.94344234292991,6.89031970548565,6.78666472739353,6.91057605639413,7.01845339053446,6.78180939105072,6.91838401146059,6.85459073575249,7.02145630638319,7.09703029348669
"Q9NQW7",7.18268473734202,7.25367100236434,7.25860692606768,7.30112318731804,7.57709870106741,7.36566799562111,6.82522369026712,7.34155865555312,7.21952769647911,7.03494955074002
"Q9NR12",7.90728049876189,8.03455814789107,7.9247329671123,7.61708076370467,7.66283996171218,7.64851177664744,7.66814998454136,7.78348405446291,7.74547382432411,7.75222256571881
"Q9NR30",8.28631329546832,8.3227892194461,8.13828486509848,7.8729637696924,6.97720483074408,8.34774577605302,8.32763895584134,8.13667237429664,7.36838486859515,7.10191823033629
"Q9NR31",7.96009645719665,7.9905243879652,8.07031418759133,8.13615557946293,7.48709116441744,7.95396631934238,8.00156232736127,8.03822756665472,7.76266732368084,7.69072835646397
"Q9NR45",7.41974303115223,7.35892319380113,7.14024793645916,7.1967752317996,6.86012902064762,7.28144556851761,7.5721345774364,7.16361447967637,7.35767166728136,7.38241668033462
"Q9NRX4",7.64581882218828,7.61609885272853,7.74535927200515,7.65325878604993,7.47280515102754,7.26636477073288,7.13954035853996,7.50479770636299,7.78706004921937,7.39170298874211
"Q9NSD9",7.68434272647291,7.62065498142895,7.57984751304446,7.56982316144281,7.26214934225508,7.67592633085259,7.67594390641473,7.57689771209506,7.47852290190641,7.05503668207892
"Q9NT62",7.32617566877539,7.42671763644644,7.34812621188122,7.40671473765674,6.82332942232165,7.37890025796259,7.35850093839274,7.45319805410368,7.35778347348322,6.63451805955745
"Q9NTJ3",7.02575592656216,7.1375034235544,6.98007171068768,7.08753553026806,7.20569619788674,7.26436077615003,7.27116865568453,7.03071585664072,6.84425769188312,7.1052528272892
"Q9NTK5",7.54655325845007,7.66877686284858,7.53370227686438,7.6021260862507,7.39439969032354,7.51642498263312,7.75476350826701,7.75556454029316,7.66354973652313,7.61400693615638
"Q9NUU7",7.35006323846189,7.33281280709803,7.32595316023892,6.89597544242946,6.66166833282288,7.22558322407777,7.11322701551655,7.20276746877626,7.40399217913484,6.66332589263396
"Q9NVD7",7.85764473786226,7.75522479369679,7.82731877885895,7.74249338396892,7.39192237633454,7.86557559623387,7.75466765736349,7.77211785795189,7.529799571589,7.50713827236686
"Q9NX24",7.09490060211583,7.14810659066782,7.0092371730755,7.09804085256456,7.19616852920512,7.03666228638602,7.00332924559455,7.13921750730585,7.21980616353711,7.17052376140547
"Q9NX46",6.83185829527508,6.68737135028671,6.97882517933311,6.96850281503436,6.78410419867152,6.73778934852451,7.01319490607881,6.91228150479782,6.27950245462357,6.94955941013515
"Q9NX55",6.98978825276015,7.15329514973477,7.22768239139497,6.88648663865579,7.02395484868577,6.42721950305493,7.26798884674666,7.11391919590263,7.28451979150833,7.14863739209029
"Q9NY33",7.5733396767674,7.2256299133043,7.67655888379577,7.43422849897381,7.52213347584057,7.55512521954634,7.5406095186307,7.49276043266254,7.56245132200277,7.45426154346661
"Q9NYL9",8.17540338010229,8.16383822803738,8.22185295854622,7.91039335092623,7.81778137923599,8.11922406380585,7.40893137677386,8.04056880798965,8.08749246470058,7.54111075948496
"Q9NYU2",8.20137438691027,8.28068444500959,8.175620915677,8.10985837906867,7.78725167871671,7.99134999191536,8.02133098775017,8.16086594595541,8.11161473402487,8.08263387033441
"Q9NZB2",6.89636131425496,6.45865119126619,6.75488881238737,6.90402750273128,6.96712293755306,7.40570730358329,6.41962256557253,7.1021043555967,7.24226621814288,6.86605922178671
"Q9NZI8",7.67057864541158,7.66139400205105,7.69756188422344,7.50687311761617,7.23641116289551,7.68615359055639,7.79669978227556,7.67739476366939,7.46448967920326,6.93924112615687
"Q9NZM1",7.45878430972974,8.33114808920842,7.88576866894371,7.06837783997764,7.14242552441195,7.58727115680368,7.69649958793549,7.6920916197874,7.82413549451392,7.52122894049423
"Q9NZN4",8.05632059522701,8.04930671959877,8.0939058566026,7.65058905320489,7.69083314744324,8.10738972015482,7.98372286146112,7.88590830062166,7.84529197540581,7.72772000135563
"Q9NZZ3",7.43833870811369,7.57765771250534,7.48677260366984,7.60998377649023,7.22590144673335,7.24172411243703,7.4946522337193,7.49195285117292,7.51100074541128,6.95116107061973
"Q9P0K7",7.88902327355615,7.60934562308437,7.51109583798219,7.3695749879706,7.16999134287883,7.90462132279779,7.58665166232027,7.40253718371509,7.38988005289295,7.14855084489484
"Q9P0P0",7.23509240865384,6.90297323054599,6.9556577961122,6.84943105537401,7.06736082944485,7.14738815413555,7.07346490828986,6.78481467073842,6.83963745709604,6.76175641361045
"Q9P0V9",6.97719924342479,6.79829683444412,6.82037935684257,7.15464470754195,7.01213822645743,6.99835959839686,6.99685490755192,6.86594380293384,6.83932972231357,6.8464210608567
"Q9P287",7.37478963320274,7.64194822158949,7.59621475629786,7.57650500398888,7.02481709742401,7.41495474597102,7.69845822750214,7.64963821619023,7.57763017075273,7.14501642704809
"Q9P289",7.40705058364175,7.38565001886616,7.32721351551699,7.19931922322596,7.06279042518409,7.30668165033909,7.39998442053407,7.34369164093623,7.29775073062541,7.02737702334339
"Q9P2J5",7.85272710989275,7.40575608565413,7.29063516414773,7.28624600996368,7.55322861834927,7.75859630090402,7.50060666717088,7.38544042076426,6.98590370675737,7.67434322028877
