"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11"
"P13693",8.8220330654465,8.73103861233776,8.83219774691828,8.36298248454754,7.85740451002454,7.96050986929074,8.09203403259843,8.28179277808254,8.14591357417056,8.51184702163605,8.1971972991086,8.57696489377356,8.64134025243175,7.8867865035767,8.1375383015649,8.19375476755798,8.53844823939345,8.51451858364046
"P13797",9.09570520763674,9.00964116205305,9.15156637002363,9.09524837520314,8.73974938944549,8.47889962456319,8.46969039601146,8.6737686118645,8.71146883625815,8.9600368491779,8.96200173603528,9.06609724385049,9.21408598821903,8.7643928887106,8.30771787228159,8.69399513404888,8.67750631743754,8.73562225037307
"P13798",7.64016439914297,7.65082759752512,7.8252217502539,7.69734132341481,7.48901388577471,7.87212256038104,6.92056901801172,7.12680648446145,7.4948359883279,7.56348433215139,7.55019840088933,7.32311046946448,7.89466644133898,7.42269885965554,7.00820710978295,7.77701481117415,7.49179044013852,7.72511358560814
"P13804",7.98015039523763,7.92539368210669,7.94177163307306,7.89639353313787,6.70827789016224,7.92723313804596,7.07344747528738,7.89241204446994,7.74424841597702,7.83560276568252,7.98012977165131,7.89580784146975,7.98746180890905,7.27197722832597,7.17060916422619,7.50698389366229,7.94462638505166,7.87781223744665
"P13861",7.62538243510396,7.67585845575508,7.59284175906045,7.45796913946801,7.07504466336112,7.28623707722517,7.16519199486559,7.02551466047003,7.14173100932577,7.559106899746,7.44292296617884,7.47391954559006,7.29259215250058,7.561918657365,6.89810496533323,7.29786326357433,7.15289103594152,7.4126624021024
"P14174",8.51038419562037,8.48342203465957,8.35174995396615,7.9493499823648,8.51264680136798,8.8511155181618,8.60390692515648,7.21250606484779,8.52754471254176,8.1063424378715,7.97848721511944,8.19361435035217,8.43112663902474,8.53832967086009,8.44834234076193,8.62973492191606,8.56759082034328,8.68661865909554
"P14314",8.85377687526135,8.78387973380008,8.67896534133579,8.48465332947705,8.24956710466627,8.45239120006855,8.1787434668297,8.61636725483378,8.4791903367167,8.44649944469553,8.41472147571799,8.5497546537439,8.69419315170642,8.53219262784251,8.20213801040161,8.56393685615141,8.63308192218545,8.5814838822073
"P14550",7.36226164464711,7.83236404539056,7.814811620672,7.12069765287389,7.60586756779623,7.49609053228524,6.7646960559677,7.12591914687577,7.15050335786756,7.10548322113476,6.79962724078229,7.85785202218876,7.39246721254912,6.81284625011503,6.9469906886769,7.10532252838677,7.40563688638669,7.44904509827351
"P14618",9.65780952685162,9.71322951845088,9.60638951194687,9.51431259802012,9.24424499177286,8.9604801292575,9.14602841546822,9.45021979739776,9.42704950085884,9.65442492072552,9.6321988229425,9.60306745688716,9.5174342109885,9.44788655738093,9.08499201258849,9.37841862234448,9.54672215906835,9.5764785180836
"P14625",9.68099796543462,9.52342514576454,9.54166133563655,9.32626546569994,9.21885254860618,9.00174417738936,8.93497524550987,9.51009774752233,9.44171653390255,9.54541194929247,9.32202360937779,9.33296576678022,9.44779639575203,9.37751943096536,9.09434547103539,9.40071191244087,9.59121994368057,9.36099652381188
