	level_0	Symbols	ID	ctr_1	ctr_2	ctr_3	ctr_4	ctr_7	ctr_8	ctr_9	ctr_10	ctr_11	ctr_14	ctr_21	Mg_1	Mg_2	Mg_3	Mg_4	Mg_7	Mg_8	Mg_9	Mg_10	Mg_11	Mg_14	Mg_21	Sites	Effect
41	41	FUBP1	FUBP1	8.332499054918179	8.355279070792133	8.435812525045836	8.298700282631671	8.17698787480081	8.052693941924968	7.48637379724617	7.748838980635796	7.95581277834499	7.333306181446832	8.077767490382056	8.240199675289158	8.213491193830334	8.196866747249238	8.212587078123894	8.290324044550108	7.676071437336907	8.229374630928843	8.09485529008368	7.513962987371995	7.689832538653086	7.85020497861574		
42	42	PDLIM7	PDLIM7	7.8084338040518055	7.944601099951267	7.849916694094291	7.6555513946674	7.811400716944095	8.189237580166832	8.408968832361207	7.9698350930757975	7.876373742805172	7.723980776891	7.953479411322143	7.602211967802297	7.6500353966070485	7.762475995750033	7.755158059532407	7.90072752544083	8.254934589077441	7.8541602401607555	8.22819496996335	8.319397574051827	7.823695884494096	7.486600479306201		
43	43	IDH1	IDH1	7.542190320433657	7.6940608931783965	7.633549247037712	7.575684227707583	8.007278247334245	8.206798900381548	7.696015460488567	7.988206562776769	7.933765592556662	7.279210512601395	7.971099496801932	7.668302031972607	7.115710338012379	7.566567112993496	7.741072772373322	8.182956469055352	7.75301588461289	8.21210766554766	8.11119528020713	8.04040452891416	8.066810275625834	7.976400422106433		
44	44	PSMC4	PSMC4	7.989512109538762	8.124993020025896	8.130623201682596	8.19835462473694	8.175192788386603	7.935376252370072	7.748869954103833	7.94586724397333	7.76234840445925	7.209970516709344	8.050108962917868	8.03205437547967	8.211681076299138	8.109274738230296	8.105101244549642	8.384980295651305	7.990787127883463	7.76179256994036	8.075656433597935	7.564879017501453	7.885852915802287	7.78478840945223		
45	45	HIST1H4A; HIST1H4B; HIST1H4C; HIST1H4D; HIST1H4E; HIST1H4F; HIST1H4H; HIST1H4I; HIST1H4J; HIST1H4K; HIST1H4L; HIST2H4A; HIST2H4B; HIST4H4	HIST1H4A; HIST1H4B; HIST1H4C; HIST1H4D; HIST1H4E; HIST1H4F; HIST1H4H; HIST1H4I; HIST1H4J; HIST1H4K; HIST1H4L; HIST2H4A; HIST2H4B; HIST4H4	8.980139777745755	9.433673846637062	9.242566272809812	8.95114802013499	8.50310943667137	8.599708446224168	8.337698805964077	8.545418459751117	8.247555946928156	7.645932903719387	8.457836497725442	9.443325583953746	9.38976836093798	9.194181208793847	8.783796421033452	8.50306852788613	8.452415170075868	8.48181513063742	8.511281613467142	7.764071470507211	8.155639633759776	8.348947065925598		
46	46	P4HA2	P4HA2	7.968576335175498	7.924666875986674	7.90620570409175	8.015778756389041	8.290946784734306	7.70205984927033	8.237543738142875	8.73559889969818	8.510048773232453	8.709566740542543	8.507478060030504	7.951696853226794	7.849793961764723	7.951371522625465	7.963528117136346	7.756278485725145	7.985561187773345	8.387994569541032	8.519736139308188	8.445339498742793	8.567414586029773	8.622369470494736		
47	47	PSMA7	PSMA7	7.846497932158269	8.082749476727281	7.970899854261527	8.104043029922009	8.276576681698554	8.073901558314207	7.404748217164617	8.21152099724023	7.874586174995811	8.184890082199722	8.100129203359808	7.995090888842378	8.057133367249087	7.80913531272523	8.148941814902912	8.142764774638724	7.391728822490743	8.098539897992861	8.1162091258034	8.05743786821294	8.046026669702542	8.25355606722012		
48	48	LGALS1	LGALS1	9.039453778961736	8.882325274596532	9.023869501388333	9.006252051369366	8.489508491577917	8.79153626813333	8.942414858406304	9.032296344739473	8.888331161494241	8.278593568241133	8.734855812377756	8.898330188854759	8.732803733265545	8.984437294796075	9.144325078400488	9.039334788738087	9.169645049134955	8.67404319953912	8.84147209706982	8.649587961100439	8.602689262215502	8.903757201967693		
49	49	TPM1	TPM1	8.836811315727346	8.693287157005656	8.905450465441351	9.13305964275391	8.846559770161806	8.58068553477062	8.725691163731348	8.61591850369591	9.178430139947737	9.261667228774185	9.05407655729051	8.848404670679187	8.696382602900835	8.917699769556032	8.838981247208956	8.81838427001463	8.591910100931143	8.960413692361229	9.16470966353988	9.248488225577443	9.290235008727562	9.310820715018279		
50	50	PTBP1	PTBP1	8.476005132579179	8.496098992132572	8.445915413951123	8.51237750731293	8.251443535033362	8.365637715794607	8.318376415222795	8.256429082303248	8.161697342108118	7.293738117783524	8.211707750406687	8.466823151065688	8.566979285614606	8.601375438291827	8.465843672937085	8.223729509364876	8.01899159470561	8.118727550427005	8.237141427338836	8.250712686459185	8.12404751911003	7.835487641995408		
51	51	RPL3	RPL3	8.429510040813138	8.345118765064614	8.364231957844547	8.185910285040714	8.057247580131245	8.322405381067654	8.310162065204453	8.35224042018223	7.443278637428316	7.22385921533063	8.034347658446848	8.246892320153599	8.402862957968564	8.281169773409736	8.339868640584651	8.331690425569631	8.371271101487585	8.000824376605605	8.31395154120854	8.026859985984562	7.972411138648832	7.908082708074611		
52	52	RPL5	RPL5	8.489846026166333	8.469792571286337	8.414672578435722	7.216561735047927	7.867485165700695	8.274134747878962	8.058805486675906	8.074048069062632	7.597333122976736	7.6777164249258965	8.232080842441372	8.42130771600335	7.891381328899431	7.924046565962411	8.280145681354222	8.263778049022621	8.01258416391415	8.232792884145159	8.290680005417864	8.311859773623503	8.268554571765275	8.251881454552528		
53	53	CAPZB	CAPZB	8.255393125707304	8.271237354470836	8.167376418413584	8.005823753029027	8.087248867795658	8.071808391833128	8.120606831056772	7.948310248856415	8.346685415027574	7.6244574287564	8.183782151277061	8.085468969886671	7.953469743253401	8.118892725373621	8.126033948051813	8.143608034837596	8.032820149438564	8.318710118918341	8.128399268717807	8.162355273552079	8.227912401751748	8.31454132912988		
