1770081_at	SPAC732.02c
1770082_at	YDR454C
1770083_at	SPAC23E2.01
1770084_at	YIL009W
1770085_at	SPAC4F8.02c
1770086_at	SPAC4H3.04c
1770087_at	YPL262W
1770088_at	YIL166C
1770089_at	YFR038W
1770090_at	SPAC19B12.10
1770091_at	SPBC1271.15c
1770092_at	YDR266C
1770093_at	YLR001C
1770094_at	SPBC691.02c
1770095_at	YER186C
1770096_at	SPCC1223.12c
1770097_at	SPCC1020.05
1770098_at	YML125C
1770099_at	YGL048C
1770100_at	SPAC683.02c
1770101_at	YBR028C
1770102_at	YHR118C
1770103_at	SPCC550.09
1770105_at	SPAC26A3.06
1770106_at	YGR081C
1770107_at	SPAC6G10.10c
1770108_at	YKL047W
1770109_at	YHL001W
1770110_at	SPBC18H10.07
1770111_at	SPAC22F8.07c
1770112_at	YDR440W
1770113_at	YNL287W
1770114_at	YDR460W
1770115_at	YLR313C
1770116_at	YDR062W
1770117_at	SPAC6G9.08
1770118_at	YOR178C
1770119_at	SPAC11D3.16c
1770120_at	YJL016W
1770121_at	SPBC2F12.14c
1770122_at	YOR279C
1770123_at	YJL218W
1770125_at	YDL218W
1770126_at	SPCC1494.05c
1770127_at	YGR071C
1770128_at	YLR256W
1770129_at	YNL032W
1770130_at	SPCC4G3.06c
1770131_at	SPCC330.06c
1770132_at	YJR100C
1770133_at	YER111C
1770134_at	YBL095W
1770135_at	SPBC725.06c
1770136_at	YJR123W
1770137_at	YML083C
1770138_at	SPAC4F10.13c
1770139_at	YML072C
1770140_x_at	YBL108C-A
1770141_at	SPBC4.05
1770142_at	YEL021W
1770143_at	SPCC777.14
1770144_at	YLR343W
1770145_at	YGR183C
1770146_at	SPAC29A4.15
1770147_at	YHR169W
1770148_at	SPBC20F10.02c
1770149_at	YIL143C
1770150_at	YNL107W
1770151_at	SPAC17A2.11
1770152_at	SPAC1296.06
1770153_at	SPAC17A5.11
1770154_at	YML102W
1770155_at	YGR027C
1770156_at	YHR146W
1770157_at	YDR361C
1770158_at	SPBC14C8.05c
1770159_at	YIL005W
1770160_at	SPACUNK4.12c
1770161_at	SPCP1E11.05c
1770162_x_at	YBR301W
1770163_at	SPBC337.12
1770164_at	SPAC1805.06c
1770165_at	SPCC1753.05
1770166_at	YHR097C
1770167_at	YGL253W
1770168_s_at	YOR390W
1770169_at	SPBC36B7.03
1770170_at	YGR258C
1770171_at	SPCC330.12c
1770172_at	SPBC19C2.15c
1770173_at	YDL229W
1770175_at	SPBP35G2.13c
1770176_at	SPBC1734.07c
1770177_at	SPAC24H6.12c
1770178_at	YDL119C
1770179_at	YJL108C
1770180_at	SPCC1672.01
1770181_at	SPAPB1E7.08c
1770182_at	YHR157W
1770183_at	YJL193W
1770184_at	YDL155W
1770185_at	SPAC1B3.05
1770186_at	SPBC1539.04
1770187_at	SPAPB1A11.03
1770188_at	SPBC14F5.04c
1770189_at	YHR007C-A
1770191_at	YER142C
1770192_at	SPCC1884.01
1770193_at	YMR190C
1770194_at	SPAC2F7.09c
1770195_at	SPBC23E6.03c
1770196_at	SPAC1805.09c
1770197_at	SPBC31F10.04c
1770198_at	SPCC1919.10c
1770199_at	SPAC2G11.11c
1770200_at	YOR272W
1770201_at	YHR057C
1770202_at	YER103W
1770203_at	YHR006W
1770204_at	SPBC1539.10
1770205_at	YIR026C
1770206_at	SPAC16A10.07c
1770207_at	YBL090W
1770208_at	SPAC12G12.03
1770209_at	YHR024C
1770210_at	YOR045W
1770211_at	YEL062W
1770212_at	YOR275C
1770213_at	YKL125W
1770214_at	SPAC4H3.11c
1770215_at	SPBC119.06
1770216_at	YPL195W
1770217_at	YDR145W
1770218_at	SPAC3G6.07
1770219_at	YGR140W
1770220_at	SPAC3A12.08
1770221_at	YJR057W
1770223_at	SPAC1420.01c
1770224_at	SPAC16.05c
1770225_at	SPAC1486.02c
1770226_at	YIL151C
1770227_at	YPL216W
1770228_at	YER172C
1770229_at	SPAC56E4.03
1770230_at	YGR204C-A
1770231_at	YKL110C
1770232_at	SPCC1223.09
1770233_at	SPAC1782.05
1770234_at	SPAC23H4.12
1770235_at	SPBC4.01
1770236_at	YMR088C
1770237_at	SPAC18B11.05
1770238_at	YDL028C
1770239_at	YOR166C
1770240_at	YJL205C
1770241_at	SPAC664.04c
1770242_at	SPBC776.05
1770243_at	YLR052W
1770244_at	SPAC6C3.09
1770245_at	YNR027W
1770246_at	SPAC959.03c
1770248_at	YNL011C
1770249_at	YLL049W
1770250_at	YJR121W
1770251_at	SPAC18B11.06
1770252_at	SPAC17A2.13c
1770253_at	YDR539W
1770254_at	SPBC21.06c
1770255_at	SPAC30D11.03
1770256_at	YJR088C
1770257_at	YNL313C
1770258_at	YKL180W
1770259_at	YDL106C
1770260_at	SPAC56F8.04c
1770261_at	YPL165C
1770262_at	SPBC3F6.04c
1770263_at	YKL116C
1770264_at	SPBC17G9.03c
1770265_at	SPAC6B12.13
1770266_at	SPAC12B10.09
1770267_at	YMR301C
1770268_at	SPBC1685.10
1770269_at	YNR020C
1770271_at	YER140W
1770272_at	SPBC1347.09
1770273_at	SPAC17H9.02
1770274_at	SPAC1610.02c
1770275_at	SPAC20G4.07c
1770276_at	YNR003C
1770277_at	YHR204W
1770278_at	SPBPB21E7.02c
1770279_at	YIR034C
1770280_at	YPL259C
1770281_at	YEL036C
1770282_at	SPCC330.19c
1770283_at	SPAC23D3.05c
1770284_at	YLR185W
1770285_at	SPAC23H4.03c
1770286_at	SPBC106.13
1770287_at	SPAC4F8.14c
1770288_at	YBR240C
1770289_at	YPR178W
1770290_at	YMR257C
1770291_at	SPAC2C4.17c
1770292_at	YOR016C
1770293_at	SPBC2F12.02c
1770294_at	YCR059C
1770295_at	SPCC1739.13
1770296_at	SPBC14F5.05c
1770297_at	YML093W
1770298_at	YPL081W
1770299_at	SPAC31A2.15c
1770300_at	YNL225C
1770301_at	SPAC4G9.08c
1770302_at	YHR087W
1770303_at	YBR294W
1770304_at	SPAC2F3.07c
1770305_at	SPBC4B4.04
1770306_at	SPBC19C2.05
1770307_at	YDR055W
1770308_at	YER041W
1770309_at	SPAC22H10.07
1770310_at	SPBC16E9.06c
1770311_at	YHR038W
1770312_at	YOR266W
1770313_at	YOL063C
1770314_at	SPBC337.16
1770315_at	YNR030W
1770316_at	SPCC4F11.05
1770317_at	YLL028W
1770318_at	SPBC32C12.03c
1770319_at	YFR030W
1770320_at	SPAC2F3.08
1770321_at	YHR005C-A
1770322_at	SPAC30D11.05
1770323_at	YFR004W
1770324_at	SPAC6F6.18c
1770325_at	SPBC947.09
1770326_at	YDR459C
1770327_at	SPAC1F3.06c
1770328_at	SPBC646.09c
1770329_at	SPAC23A1.04c
1770330_at	SPAC19G12.13c
1770331_at	SPAC7D4.12c
1770332_at	YCR076C
1770333_at	YPR029C
